level,algorithm,dist
code2vec,infomap,0.06014498990461514
code2vec,infomap,-0.09360189968114385
code2vec,infomap,0.20890835848529304
code2vec,infomap,-0.453777333404657
code2vec,infomap,-0.331436750873051
code2vec,infomap,0.20891066961814636
code2vec,infomap,-0.18236294581894674
code2vec,infomap,-0.14143894077647068
code2vec,infomap,-0.45552461137703615
code2vec,infomap,0.10221934575470193
code2vec,infomap,-0.25509396303875953
code2vec,infomap,-0.018883821419829028
code2vec,infomap,-0.32921345980982264
code2vec,infomap,0.02300985486433238
code2vec,infomap,-0.026365423386966347
code2vec,infomap,0.12853705270998783
code2vec,infomap,-0.06533176925850326
code2vec,infomap,-0.12470826540961388
code2vec,infomap,-0.1387893057055446
code2vec,infomap,-0.3614814615020948
code2vec,infomap,-0.1332886855752028
code2vec,infomap,-0.39222202848257803
code2vec,infomap,0.025088682948768315
code2vec,infomap,-0.17469172022049073
code2vec,infomap,0.19009023782792023
code2vec,infomap,-0.03589801434058493
code2vec,infomap,0.028316255446648286
code2vec,infomap,0.055199571900002686
code2vec,infomap,-0.07185600508805878
code2vec,infomap,-0.30669176828119593
code2vec,infomap,-0.1858954235844058
code2vec,infomap,-0.16412977930621808
code2vec,infomap,0.10704066110142696
code2vec,infomap,0.08631420483046948
code2vec,infomap,-0.4009698615553234
code2vec,infomap,0.10700013926741692
code2vec,infomap,
code2vec,infomap,
code2vec,infomap,0.18343093328155047
code2vec,infomap,0.017116597722234284
code2vec,infomap,
code2vec,infomap,0.26946168491995015
code2vec,infomap,0.0705540497272874
code2vec,infomap,-0.09663490413613496
code2vec,infomap,0.07780168566047507
code2vec,infomap,-0.48682523940428746
code2vec,infomap,-0.40392035031025775
code2vec,infomap,-0.18429937386057327
code2vec,infomap,-0.33998069663800745
code2vec,infomap,-0.21191846552149096
code2vec,infomap,-0.04984100711740702
code2vec,infomap,-0.08503386984637795
code2vec,infomap,-0.5282670141580533
code2vec,infomap,0.14873570404396463
code2vec,infomap,0.07421887778506586
code2vec,infomap,0.2560529595496067
code2vec,infomap,-0.4353225760350695
code2vec,infomap,-0.2834017987571681
code2vec,infomap,-0.04664956062219261
code2vec,infomap,0.00759989890336088
code2vec,infomap,0.13019688966873266
code2vec,infomap,-0.4767634523832385
code2vec,infomap,-0.10230185481738086
code2vec,infomap,-0.4450243465308099
code2vec,infomap,
code2vec,infomap,0.012273487560186203
code2vec,infomap,0.14532843703858445
code2vec,infomap,-0.17093988712295494
code2vec,infomap,-0.45975617973932126
code2vec,infomap,0.06521737373751557
code2vec,infomap,-0.024151946033786453
code2vec,infomap,-0.47026366913603557
code2vec,infomap,-0.40315615921663817
code2vec,infomap,-0.03333762016235886
code2vec,infomap,-0.255418843991686
code2vec,infomap,-0.1471972396436435
code2vec,infomap,-0.2788097249666176
code2vec,infomap,0.09297625245936869
code2vec,infomap,-0.0774530662664844
code2vec,infomap,-0.3425964301378661
code2vec,infomap,0.022995366131588035
code2vec,infomap,-0.03639799592811699
code2vec,infomap,0.0153252121300409
code2vec,infomap,-0.2842359686714484
code2vec,infomap,-0.029164534277467347
code2vec,infomap,-0.5112867317853385
code2vec,infomap,0.06565370144383809
code2vec,infomap,0.01292156387805976
code2vec,infomap,-0.361814535117305
code2vec,infomap,0.07308055364678012
code2vec,infomap,0.08979521086401021
code2vec,infomap,-0.1562138335045925
code2vec,infomap,0.07218848213565388
code2vec,infomap,0.23930518603529827
code2vec,infomap,-0.3163587682338358
code2vec,infomap,-0.3613615751040012
code2vec,infomap,-0.34599308308007426
code2vec,infomap,-0.037311750262544074
code2vec,infomap,-0.4318217287154952
code2vec,infomap,-0.04355088124096396
code2vec,infomap,-0.33941928563644064
code2vec,infomap,-0.11312844748841377
code2vec,infomap,0.04343196148169404
code2vec,infomap,-0.026994858054978366
code2vec,infomap,-0.016927140540650365
code2vec,infomap,-0.3976501342009179
code2vec,infomap,-0.3103685514700222
code2vec,infomap,0.13119490623092644
code2vec,infomap,-0.5249304038294518
code2vec,infomap,-0.3098849440506146
code2vec,infomap,-0.30046072768868626
code2vec,infomap,0.16191795353272198
code2vec,infomap,-0.0960270621081789
code2vec,infomap,-0.0779867823760666
code2vec,infomap,-0.20716211731125544
code2vec,infomap,-0.15686822393352684
code2vec,infomap,0.057851792536121494
code2vec,infomap,0.13491532726610644
code2vec,infomap,0.0568723001287158
code2vec,infomap,-0.028089096686860437
code2vec,infomap,0.04514315527631907
code2vec,infomap,-0.2594757491665737
code2vec,infomap,-0.09512675917438007
code2vec,infomap,-0.12682049154606712
code2vec,infomap,0.14185815270860147
code2vec,infomap,0.0016394318462904511
code2vec,infomap,-0.011009527643046635
code2vec,infomap,-0.18968818859485348
code2vec,infomap,0.043900859048762175
code2vec,infomap,-0.1996976068241424
