,cohesion,comm_algorithm,dep_sim_corr,feature_algorithm,inter_similarity,project,silhouette
3112,0.8919163822489501,infomap,-1.0,document,0.9513521401905849,mybatis-3,0.08240806407316244
3113,0.8841775314854565,infomap,0.12884736684602968,document,0.9718378157885813,nacos,-0.038301138517546324
3114,0.925362073985932,infomap,0.10454891721504465,document,0.9793276639920124,nakadi,-0.1877075375490225
3115,0.9343235857876588,infomap,-0.08209719368700735,document,0.9447997169971375,nanohttpd,-0.2121222339399125
3116,0.9296182502445921,infomap,0.15996275990027323,document,0.9379915242829554,narayana,-0.1260609652607295
3117,0.9075409423933432,infomap,-0.24492644648695924,document,0.9434455994187436,nats.java,-0.021054395834880876
3118,0.9348284510269714,infomap,-0.782696712803498,document,0.9579487116772315,nbvcxz,-0.060153286042607786
3119,0.9368196074377323,infomap,0.2728180913894982,document,0.9347206505594646,netty,-0.24553614458600131
3120,0.8592371056585323,infomap,0.09433387648004377,document,0.974979601931457,ninja,-0.10856140763176528
3121,0.9472404808396532,infomap,0.2297828933887988,document,0.9253062792680468,logging-log4j2,-0.2684172431248534
3122,0.9278624649847635,infomap,0.1821208363304892,document,0.9379347624619824,logstash,-0.10468864839026448
3123,0.9022596669264183,infomap,,document,0.9671605422562766,lwjgl3,0.032797369430479735
3124,0.9179703810590283,infomap,0.06197910040887041,document,0.9325633475960055,mahout,-0.08690002276273669
3125,0.9340973669910354,infomap,0.19727627797479835,document,0.8908702719551814,manifold,-0.2081648335832573
3126,0.903863703967475,infomap,-1.0,document,0.9831633339148999,mapdb,0.29853258701808966
3127,0.8387618473471301,infomap,-0.8178498915697315,document,0.981574007252124,mapsforge,0.04952571441367465
3128,0.88793623483827,infomap,-1.0000000000000002,document,0.9895201301393668,mapstruct,0.007849328195063046
3129,0.9123452135506599,infomap,0.22447454987322207,document,0.9419426472007978,maven,-0.16242824984282125
3130,0.8890720920107171,infomap,-0.9999999999999998,document,0.993183945701008,methanol,0.0615940898815761
3131,0.9069737585879323,infomap,-0.9999999999999998,document,0.9195126670464457,metrics,-0.10176017620059796
3132,0.8870393150497348,infomap,0.02047450561225316,document,0.9886328209738987,micro-server,-0.011088484848219615
3133,0.9271946496015298,infomap,0.1433760766306112,document,0.9737470701267934,microconfig,-0.12838037756304185
3134,0.9063153263078069,infomap,0.20286201265747275,document,0.8897522790316276,micronaut-core,-0.19624900290786262
3135,0.920105922301141,infomap,-0.027218295527785666,document,0.9229694313749195,mina,-0.0828556516605838
3136,0.8934005932549376,infomap,0.1838545347988467,document,0.9301327774115973,mini2Dx,-0.10348897647866137
3137,0.8693570076248676,infomap,-0.9999999999999999,document,0.997107263907479,minio-java,-0.06700322185059022
3138,0.9326638665570349,infomap,0.22788012592485082,document,0.9075392936960411,NullAway,-0.014194747294978693
3139,0.9103862640169965,infomap,-0.06104247549853527,document,0.9660598047302664,oacc-core,0.08213551560252046
3140,0.9457459516483784,infomap,0.06111756646288462,document,0.9209270566592163,objenesis,-0.015161576383172956
3141,0.8935593949656341,infomap,-1.0,document,0.9097144806015502,openhtmltopdf,-0.0019185191066158206
3142,0.9119621786529909,infomap,0.11360953469999373,document,0.9233084274674562,openj9,-0.10863063752138029
3143,0.8658558912964933,infomap,-0.3863131992286454,document,0.9785633208268929,OpenPDF,0.07435540072115059
3144,0.9136539739340283,infomap,0.2084756081067493,document,0.9757478681915087,opentracing-toolbox,-0.04386992790706812
3145,0.9209017403505546,infomap,0.19942241678452993,document,0.9371650574351698,optaplanner,-0.02761986660055886
3146,0.9081364324849117,infomap,-0.0385387195354713,document,0.9770795353803643,orc,-0.10183025055531116
3147,0.9267024944019403,infomap,-0.04836839761757348,document,0.9687108460367968,Orienteer,-0.12217692607308438
3148,0.9395221518596719,infomap,-0.04987496405143964,document,0.9062138141468744,orika,-0.20557645831291915
3149,0.9029870426462591,infomap,0.13617502165763895,document,0.9311589600826236,orson-charts,-0.17141740820446824
3150,0.9088776551734465,infomap,0.21027624288841537,document,0.971445120367281,oryx,-0.023773325441973307
3151,0.8978067758566575,infomap,0.3040945098293492,document,0.9589348431006077,owner,-0.07316522521787075
3152,0.8899798290922097,infomap,-0.5808516580320874,document,0.9773353301186576,p6spy,0.05762548790731646
3153,0.910678585177408,infomap,0.20660444427962346,document,0.9464786030246808,pac4j,-0.04272190925577932
3154,0.8562361627354952,infomap,-0.9652886835216095,document,0.9810943152797722,parity,-0.021495404587986603
3155,0.9193136024500222,infomap,0.18064494412544638,document,0.9225345872155463,parquet-mr,-0.07366932272523001
3156,0.8571630111380752,infomap,-0.41640332289752036,document,0.9923171977944563,pdfbox,0.026448933257779084
3157,0.9248899804171838,infomap,-1.0,document,0.9774889622130218,pebble,-0.02303002262702389
3158,0.9024320432612342,infomap,-0.06295234179366328,document,0.957521191138462,permazen,-0.0584084544785109
3159,0.923397027891138,infomap,-0.9999999999999998,document,0.9439080691597748,philadelphia,-0.20602178636559143
3160,0.8795103247426269,infomap,-0.8022092590211466,document,0.9375528966641264,phoenix,0.10971424768116177
3161,0.9036416742744545,infomap,-0.9999999999999999,document,0.9947349038772386,picocli,0.02746271253582196
3162,0.9165516249993806,infomap,0.24223525261328083,document,0.9234199112045951,pinpoint,-0.14074890600554482
