algorithm,size
leiden,16
leiden,13
leiden,10
leiden,7
leiden,5
leiden,4
leiden,82
leiden,60
leiden,46
leiden,43
leiden,40
leiden,38
leiden,38
leiden,31
leiden,31
leiden,30
leiden,12
leiden,9
leiden,142
leiden,135
leiden,120
leiden,112
leiden,108
leiden,85
leiden,50
leiden,47
leiden,34
leiden,30
leiden,12
leiden,7
leiden,7
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,76
leiden,74
leiden,56
leiden,50
leiden,49
leiden,45
leiden,45
leiden,38
leiden,36
leiden,32
leiden,32
leiden,28
leiden,28
leiden,17
leiden,15
leiden,12
leiden,5
leiden,5
leiden,4
leiden,4
leiden,15
leiden,14
leiden,13
leiden,12
leiden,8
leiden,14
leiden,11
leiden,7
leiden,99
leiden,79
leiden,67
leiden,64
leiden,44
leiden,43
leiden,41
leiden,30
leiden,26
leiden,22
leiden,19
leiden,13
leiden,10
leiden,7
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,22
leiden,20
leiden,16
leiden,16
leiden,13
leiden,13
leiden,5
leiden,173
leiden,158
leiden,96
leiden,91
leiden,66
leiden,64
leiden,59
leiden,50
leiden,46
leiden,44
leiden,19
leiden,15
leiden,8
leiden,6
leiden,6
leiden,156
leiden,152
leiden,150
leiden,92
leiden,77
leiden,68
leiden,51
leiden,40
leiden,13
leiden,130
leiden,72
leiden,36
leiden,12
leiden,10
leiden,57
leiden,40
leiden,33
leiden,29
leiden,20
leiden,18
leiden,14
leiden,37
leiden,33
leiden,28
leiden,25
leiden,20
leiden,403
leiden,361
leiden,348
leiden,296
leiden,291
leiden,251
leiden,241
leiden,183
leiden,159
leiden,108
leiden,94
leiden,77
leiden,28
leiden,27
leiden,17
leiden,17
leiden,13
leiden,10
leiden,4
leiden,51
leiden,43
leiden,40
leiden,25
leiden,22
leiden,14
leiden,14
leiden,13
leiden,13
leiden,12
leiden,12
leiden,10
leiden,10
leiden,9
leiden,9
leiden,6
leiden,4
leiden,450
leiden,284
leiden,244
leiden,236
leiden,192
leiden,162
leiden,144
leiden,119
leiden,113
leiden,109
leiden,98
leiden,30
leiden,10
leiden,10
leiden,7
leiden,5
leiden,32
leiden,24
leiden,20
leiden,12
leiden,175
leiden,153
leiden,139
leiden,122
leiden,120
leiden,119
leiden,88
leiden,79
leiden,55
leiden,46
leiden,42
leiden,35
leiden,9
leiden,5
leiden,38
leiden,37
leiden,34
leiden,29
leiden,27
leiden,22
leiden,140
leiden,118
leiden,103
leiden,102
leiden,100
leiden,94
leiden,77
leiden,66
leiden,55
leiden,36
leiden,22
leiden,20
leiden,19
leiden,15
leiden,8
leiden,7
leiden,180
leiden,135
leiden,129
leiden,111
leiden,105
leiden,99
leiden,85
leiden,62
leiden,61
leiden,60
leiden,53
leiden,40
leiden,38
leiden,24
leiden,21
leiden,20
leiden,6
leiden,5
leiden,36
leiden,34
leiden,24
leiden,13
leiden,13
leiden,5
leiden,5
leiden,5
leiden,4
leiden,29
leiden,23
leiden,19
leiden,19
leiden,18
leiden,16
leiden,16
leiden,13
leiden,13
leiden,9
leiden,7
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,4
leiden,573
leiden,524
leiden,427
leiden,378
leiden,351
leiden,279
leiden,233
leiden,195
leiden,152
leiden,107
