project, size, rand
LoganSquare, 62, 0.3597005238950705
logback, 509, 0.300718814364548
logbook, 103, 0.24646653486920012
logging-log4j2, 1160, 0.04901301184503314
logstash, 303, 0.3033374833163054
lwjgl3, 77, 0.3837897457676315
mahout, 832, 0.34827284636297884
manifold, 488, 0.3946422400566281
mapdb, 65, 0.4516494585746664
mapsforge, 402, 0.1551832255450328
mapstruct, 306, 0.004362156514156617
maven, 746, 0.37359344901209884
methanol, 65, 0.19765726805378547
metrics, 144, 0.06266837353932135
micro-server, 242, 0.141572426836451
microconfig, 123, 0.02295853938717485
micronaut-core, 1178, 0.2543261375029786
mina, 152, 0.2870164707734792
mini2Dx, 641, 0.5727710414669155
minio-java, 216, 0.049206732304395165
commons-chain, 67, 0.3544643345924345
commons-codec, 68, 0.3598940918789113
commons-collections, 41, 0.7952123166423046
commons-compress, 211, 0.5684164624303191
commons-configuration, 200, 0.2385846550284474
commons-dbcp, 54, 0.3612365702524771
commons-dbutils, 32, 0.5676565070908094
commons-digester, 146, 0.16057569483818068
commons-exec, 30, 0.36551626790881503
commons-fileupload, 44, 0.3772906053494476
commons-functor, 38, 0.7570180630193414
commons-imaging, 329, 0.3258528346208101
commons-io, 147, 0.32120109367790395
commons-jci, 42, 0.11263594695017765
commons-jcs, 219, 0.26202824402162483
commons-jexl, 103, 0.5235286405329254
commons-jxpath, 171, 0.43929456165619263
commons-lang, 104, 0.11436096371544682
commons-math, 547, 0.32599187824004827
commons-net, 187, 0.31154745803388784
commons-ognl, 135, 0.45652708502781036
commons-proxy, 38, 0.09859592395849097
commons-rdf, 95, 0.38121633057844206
commons-rng, 122, 0.1673374409320151
commons-scxml, 117, 0.04164086577632932
commons-validator, 64, 0.40250756931850673
commons-vfs, 313, 0.27208889735054065
comsat, 160, 0.6988384154001764
config, 94, 0.5290340549366586
atomix, 787, 0.4667170595643657
commons-bsf, 59, 0.38379780574625855
commons-jelly, 425, 0.026472637356765746
connect-java-sdk, 352, 0.09137793763947392
docx4j, 917, 0.1623152257436125
embulk, 269, 0.004747186919663653
FreeBuilder, 90, 0.05880110653684464
guice, 150, 0.4431739821589238
java-design-patterns, 868, 0.9813579728058159
jedis, 116, 0.07808502160144289
jsoup, 59, 0.31485502546430766
Mixin, 232, 0.09003255139024362
noexception, 94, 0.21078639010309336
pact-jvm, 43, 0.6727371568360967
powermock, 146, 0.4347227548705558
servicetalk, 646, 0.26904173957218475
springdoc-openapi, 134, 0.13961019554765233
threeten-extra, 49, 0.25432445478081533
vert.x, 453, 0.07760765850241857
consul-api, 80, 0.1667025183227571
cqengine, 34, 0.5115756560162518
crash, 301, 0.7166702837398048
crawler4j, 49, -0.018550843595681654
crnk-framework, 886, 0.2135782697426975
cryptomator, 201, 0.07045026467258822
cucumber-jvm, 383, 0.27924269817882524
cukes, 156, 0.24608221658482443
cyclops, 142, 0.4225512372195587
dagger, 27, 0.8580288526358366
db-scheduler, 55, 0.37000945080331826
debezium, 465, 0.19580582925491213
deeplearning4j, 952, 0.2003239793264752
deltaspike, 662, 0.47163710579498264
derive4j, 63, 0.055844617179852125
disruptor, 36, 0.4563927100062845
dkpro-core, 601, 0.008197264570231885
documents4j, 105, 0.27799573861598986
doma, 801, 0.3013016602866927
doov, 267, 0.14783535416318883
dozer, 213, 0.12811460610876174
drift, 146, 0.2940014347648163
drill, 2938, 0.289565821931697
dropwizard, 319, 0.034505699357388106
druid, 2219, 0.24823690064223364
dsl-json, 90, 0.3254654012701222
dubbo, 1199, 0.3848692367781434
